transaction_id,city,transaction_date,card_type,exp_type,gender,amount,year,month,month_name,day,day_name
1,Delhi,2014-10-29,Gold,Bills,F,82475,2014,10,October,29,Wednesday
2,Greater Mumbai,2014-08-22,Platinum,Bills,F,32555,2014,8,August,22,Friday
3,Bengaluru,2014-08-27,Silver,Bills,F,101738,2014,8,August,27,Wednesday
4,Greater Mumbai,2014-04-12,Signature,Bills,F,123424,2014,4,April,12,Saturday
5,Bengaluru,2015-05-05,Gold,Bills,F,171574,2015,5,May,5,Tuesday
6,Delhi,2014-09-08,Silver,Bills,F,100036,2014,9,September,8,Monday
7,Delhi,2015-02-24,Gold,Bills,F,143250,2015,2,February,24,Tuesday
8,Greater Mumbai,2014-06-26,Platinum,Bills,F,150980,2014,6,June,26,Thursday
9,Delhi,2014-03-28,Silver,Bills,F,192247,2014,3,March,28,Friday
10,Delhi,2014-09-01,Platinum,Bills,F,67932,2014,9,September,1,Monday
11,Delhi,2014-06-22,Platinum,Bills,F,280061,2014,6,June,22,Sunday
12,Greater Mumbai,2013-12-07,Signature,Bills,F,278036,2013,12,December,7,Saturday
13,Greater Mumbai,2014-08-07,Gold,Bills,F,19226,2014,8,August,7,Thursday
14,Delhi,2014-04-27,Signature,Bills,F,254359,2014,4,April,27,Sunday
15,Greater Mumbai,2014-08-15,Signature,Bills,F,302834,2014,8,August,15,Friday
16,Greater Mumbai,2014-11-28,Platinum,Bills,F,647116,2014,11,November,28,Friday
17,Greater Mumbai,2014-06-14,Signature,Bills,F,421878,2014,6,June,14,Saturday
18,Greater Mumbai,2015-03-30,Gold,Bills,F,986379,2015,3,March,30,Monday
19,Greater Mumbai,2014-03-15,Platinum,Bills,F,213047,2014,3,March,15,Saturday
20,Greater Mumbai,2013-11-09,Platinum,Bills,F,735566,2013,11,November,9,Saturday
21,Delhi,2014-04-04,Signature,Bills,F,366102,2014,4,April,4,Friday
22,Delhi,2014-07-01,Signature,Bills,F,809623,2014,7,July,1,Tuesday
23,Greater Mumbai,2015-03-27,Silver,Bills,F,467014,2015,3,March,27,Friday
24,Ahmedabad,2013-10-11,Gold,Bills,F,668568,2013,10,October,11,Friday
25,Ahmedabad,2014-03-26,Gold,Bills,F,339112,2014,3,March,26,Wednesday
26,Delhi,2014-09-27,Silver,Bills,F,622170,2014,9,September,27,Saturday
27,Bengaluru,2014-03-23,Platinum,Bills,F,434427,2014,3,March,23,Sunday
28,Greater Mumbai,2014-05-17,Signature,Bills,F,655846,2014,5,May,17,Saturday
29,Bengaluru,2015-01-18,Platinum,Bills,F,987935,2015,1,January,18,Sunday
30,Delhi,2015-04-18,Gold,Bills,F,702774,2015,4,April,18,Saturday
31,Bengaluru,2014-07-31,Signature,Bills,F,225392,2014,7,July,31,Thursday
32,Greater Mumbai,2015-02-11,Gold,Bills,F,296573,2015,2,February,11,Wednesday
33,Ahmedabad,2013-11-24,Platinum,Bills,F,227702,2013,11,November,24,Sunday
34,Ahmedabad,2014-11-08,Gold,Bills,F,864090,2014,11,November,8,Saturday
35,Ahmedabad,2014-09-06,Signature,Bills,F,440605,2014,9,September,6,Saturday
36,Ahmedabad,2015-03-24,Platinum,Bills,F,954660,2015,3,March,24,Tuesday
37,Ahmedabad,2014-01-01,Signature,Bills,F,255577,2014,1,January,1,Wednesday
38,Ahmedabad,2014-07-12,Silver,Bills,F,337352,2014,7,July,12,Saturday
39,Ahmedabad,2014-02-04,Platinum,Bills,F,660244,2014,2,February,4,Tuesday
40,Delhi,2015-02-03,Silver,Bills,F,401351,2015,2,February,3,Tuesday
41,Delhi,2013-10-27,Platinum,Bills,F,678842,2013,10,October,27,Sunday
42,Delhi,2014-05-11,Gold,Bills,F,478861,2014,5,May,11,Sunday
